City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
Kudahuvadhoo,2.6708,72.8944,27.92,76,100,4.05,MV,1660059408
Punta Arenas,-53.15,-70.9167,4.06,93,0,2.57,CL,1660059256
Atuona,-9.8,-139.0333,24.93,75,10,8.57,PF,1660059411
Torbay,47.6666,-52.7314,13.75,88,100,6.17,CA,1660059412
North Myrtle Beach,33.816,-78.68,33.52,73,20,3.09,US,1660059258
Alice Springs,-23.7,133.8833,19.75,18,100,5.14,AU,1660059414
Mian Channu,30.44,72.3543,33.42,53,68,3.52,PK,1660059416
São João da Barra,-21.6403,-41.0511,28.05,75,55,4.94,BR,1660059417
Avarua,-21.2078,-159.775,21.03,78,20,3.6,CK,1660059419
Asău,46.4333,26.4,26.51,70,66,3.39,RO,1660059420
Port Alfred,-33.5906,26.891,18.43,84,46,1.34,ZA,1660059421
Dikson,73.5069,80.5464,5.77,91,100,11.09,RU,1660059423
Laas,46.6166,10.7002,28.16,41,23,1.58,IT,1660059424
Jalu,29.0331,21.5482,36.28,21,0,6.08,LY,1660059426
Cuenca,-2.8833,-78.9833,16.07,63,100,2.06,EC,1660059173
George Town,5.4112,100.3354,28.96,84,20,1.54,MY,1660059419
Airai,-8.9266,125.4092,13.84,83,51,1.4,TL,1660059429
Hobart,-42.8794,147.3294,3.92,93,4,3.6,AU,1660059431
Busselton,-33.65,115.3333,9.58,72,76,3.24,AU,1660059432
Champerico,14.3,-91.9167,29.3,76,100,1.54,GT,1660059433
Narsaq,60.9167,-46.05,9.12,66,12,2.42,GL,1660059435
Brigantine,39.4101,-74.3646,35.58,57,0,5.14,US,1660059436
Vestmannaeyjar,63.4427,-20.2734,11.55,100,100,10.29,IS,1660059439
Salou,41.0766,1.1416,34.58,48,20,4.12,ES,1660059440
Ust'-Kulom,61.6864,53.6902,18.95,57,92,2.48,RU,1660059441
Kumul,42.8,93.45,33.8,18,0,4.74,CN,1660059443
Los Llanos de Aridane,28.6585,-17.9182,22.86,69,20,6.17,ES,1660059444
Husavik,66.0449,-17.3389,14.2,75,96,2.14,IS,1660059446
Lompoc,34.6391,-120.4579,16.08,94,100,3.09,US,1660059447
Alofi,-19.0595,-169.9187,21.94,94,7,2.57,NU,1660059448
Acajutla,13.5928,-89.8275,29.59,60,72,1.25,SV,1660059450
Cidreira,-30.1811,-50.2056,13.64,91,100,8.22,BR,1660059451
Dingle,10.9995,122.6711,24.26,93,95,0.19,PH,1660059452
Krasnosel'kup,65.7,82.4667,15.67,63,31,7.28,RU,1660059454
Gboko,7.3179,8.9951,27.96,69,87,3.21,NG,1660059455
Japura,-0.3167,102.35,24.38,90,58,0.51,ID,1660059457
Kożuchów,51.7456,15.5949,26.44,38,43,4.24,PL,1660059458
Natal,-5.795,-35.2094,30.12,66,40,7.72,BR,1660058793
Serra Talhada,-7.9919,-38.2983,30.31,26,4,3.7,BR,1660059460
Yellowknife,62.456,-114.3525,15.29,100,20,2.57,CA,1660059463
Jiwani,25.05,61.7417,28.01,84,88,4.04,PK,1660059464
Cape Town,-33.9258,18.4232,17.16,76,0,6.69,ZA,1660059466
La Santisima Trinidad,-14.8333,-64.9,15.99,94,100,6.69,BO,1660059467
New Norfolk,-42.7826,147.0587,3.73,83,4,1.23,AU,1660059468
Provideniya,64.3833,-173.3,7.57,71,84,3.38,RU,1660059470
Shaowu,27.3409,117.4831,26.74,73,78,0.83,CN,1660059471
Paragominas,-2.9667,-47.4833,34.68,30,74,2.54,BR,1660059472
Esperance,-33.8667,121.9,7.91,74,99,9.71,AU,1660059474
Barrow,71.2906,-156.7887,4.01,87,100,6.69,US,1660059475
Barra dos Coqueiros,-10.9089,-37.0386,27.01,65,40,5.14,BR,1660059476
Itarema,-2.9248,-39.9167,31.02,53,3,7.84,BR,1660059479
High Level,58.5169,-117.136,13.06,88,20,1.54,CA,1660059480
Ōhara,35.25,140.3833,27.12,89,96,9.88,JP,1660059482
Clyde River,70.4692,-68.5914,8.13,71,40,11.32,CA,1660059483
Warmbad,-28.45,18.7333,23.28,11,0,4.13,NA,1660059484
Anadyr,64.75,177.4833,8.28,81,0,4.0,RU,1660059486
Hamilton,39.1834,-84.5333,29.85,81,40,2.06,US,1660059242
Redmond,47.674,-122.1215,18.47,85,63,0.45,US,1660059218
Toyoake,35.0594,137.0137,29.52,92,100,2.9,JP,1660059489
Iqaluit,63.7506,-68.5145,9.85,55,75,1.03,CA,1660059491
Sitka,57.0531,-135.33,12.94,82,75,2.06,US,1660059492
Inhambane,-23.865,35.3833,23.99,64,20,4.12,MZ,1660059494
Eureka,40.8021,-124.1637,16.22,87,63,1.16,US,1660059377
Sola,-13.8833,167.55,26.3,74,4,0.68,VU,1660059496
Mezen',65.8522,44.24,15.98,62,65,1.53,RU,1660059498
Eldorado,-23.7869,-54.2836,13.39,91,100,3.41,BR,1660059500
Kruisfontein,-34.0033,24.7314,16.99,56,43,0.51,ZA,1660059501
Yatou,37.15,122.3833,21.31,94,100,4.58,CN,1660059503
Ust'-Omchug,61.15,149.6333,15.34,63,100,1.27,RU,1660059504
Kochevo,59.5994,54.3125,17.15,95,97,3.65,RU,1660059506
Timrå,62.487,17.3257,20.82,60,100,6.17,SE,1660059507
Saint-Philippe,-21.3585,55.7679,20.77,74,96,7.16,RE,1660059508
Waingapu,-9.6567,120.2641,24.66,85,82,3.6,ID,1660059510
Ginir,7.1333,40.7,16.99,68,100,3.23,ET,1660059511
Solnechnyy,50.7214,136.6319,11.48,86,73,1.9,RU,1660059512
Hilo,19.7297,-155.09,25.71,95,40,1.54,US,1660059438
Bonavista,48.6499,-53.1147,13.04,87,100,6.18,CA,1660059515
Pevek,69.7008,170.3133,8.17,57,99,6.33,RU,1660059516
Anyang,36.0994,114.3289,19.71,83,100,3.13,CN,1660059518
Hermanus,-34.4187,19.2345,14.89,83,83,5.43,ZA,1660059519
Adelaide,-34.9333,138.6,14.71,45,0,5.36,AU,1660059435
Coahuayana Viejo,18.7333,-103.6833,30.08,63,88,0.76,MX,1660059523
Boa Vista,2.8197,-60.6733,32.99,49,20,5.14,BR,1660059038
Namatanai,-3.6667,152.4333,25.71,83,90,1.7,PG,1660059526
Puerto Ayora,-0.7393,-90.3518,22.53,79,93,2.24,EC,1660059528
Yondó,7.0062,-73.9097,31.7,61,93,1.17,CO,1660059529
Gizo Government Station,-8.103,156.8419,27.35,76,63,2.34,SB,1660059531
Ponta do Sol,32.6667,-17.1,26.67,78,27,1.26,PT,1660059533
Tocopilla,-22.092,-70.1979,21.42,52,4,3.05,CL,1660059319
Cancún,21.1743,-86.8466,29.96,66,40,1.03,MX,1660059044
Chui,-33.6971,-53.4616,12.94,62,18,5.38,UY,1660059537
General Roca,-39.0333,-67.5833,10.94,52,29,7.47,AR,1660059538
Balagansk,54.0103,103.0544,15.75,70,100,2.01,RU,1660059539
Portland,45.5234,-122.6762,19.3,81,75,1.54,US,1660059431
Coyhaique,-45.5752,-72.0662,10.97,54,75,1.54,CL,1660059422
Ankang,32.68,109.0172,26.29,87,97,1.05,CN,1660059545
Solec Kujawski,53.0837,18.2257,22.71,68,40,2.57,PL,1660059546
Sinnamary,5.3833,-52.95,30.55,61,99,6.2,GF,1660059548
Cerqueira César,-23.0356,-49.1661,18.75,82,100,5.16,BR,1660059549
Kidal,18.4411,1.4078,38.0,26,59,3.3,ML,1660059550
Vavozh,56.7751,51.931,18.83,83,98,3.98,RU,1660059552
Caceres,39.522,-6.3748,38.17,16,0,3.26,ES,1660059553
Zhangye,38.9342,100.4517,23.78,66,89,1.46,CN,1660059554
Da Lat,11.9465,108.4419,16.02,96,100,2.96,VN,1660059556
Chiang Rai,19.9167,99.9167,25.99,98,20,2.06,TH,1660059490
Faanui,-16.4833,-151.75,24.52,68,100,4.19,PF,1660059558
Tuatapere,-46.1333,167.6833,-0.42,87,5,1.08,NZ,1660059560
Cartagena,10.3997,-75.5144,31.79,70,40,1.03,CO,1660059436
Port Lincoln,-34.7333,135.8667,12.46,72,100,8.48,AU,1660059562
Longyearbyen,78.2186,15.6401,7.91,87,75,2.06,SJ,1660059512
Lagoa,39.05,-27.9833,22.68,77,13,2.81,PT,1660059570
Hambantota,6.1241,81.1185,26.19,83,20,2.57,LK,1660059571
Port Elizabeth,-33.918,25.5701,20.17,74,0,1.54,ZA,1660059574
Kuusamo,65.9667,29.1833,18.02,48,0,5.66,FI,1660059575
Birjand,32.8663,59.2211,31.26,14,0,7.2,IR,1660059577
Ponta Delgada,37.7333,-25.6667,23.4,73,40,2.57,PT,1660059532
Kalianget,-7.05,113.9333,27.05,77,26,4.77,ID,1660059579
Belz,47.6751,-3.168,30.79,37,63,4.97,FR,1660059580
Bredasdorp,-34.5322,20.0403,14.55,77,92,4.03,ZA,1660059582
Fortuna,40.5982,-124.1573,16.07,93,100,0.0,US,1660059583
Brewster,41.3973,-73.6171,33.97,63,0,5.14,US,1660059501
Yenagoa,4.9247,6.2642,25.48,85,98,3.13,NG,1660059586
Samarai,-10.6167,150.6667,25.78,82,97,7.66,PG,1660059587
Westport,41.1415,-73.3579,35.06,59,0,5.66,US,1660059589
Yaan,7.3833,8.5667,27.63,74,84,2.29,NG,1660059590
Qaanaaq,77.484,-69.3632,3.33,62,0,0.34,GL,1660059591
Lavrentiya,65.5833,-171.0,5.03,80,99,4.14,RU,1660059593
Hegang,47.4,130.3667,15.91,65,18,3.67,CN,1660059594
Esim,4.8699,-2.2405,25.48,74,94,5.06,GH,1660059595
Rosarito,32.3333,-117.0333,27.04,69,38,2.48,MX,1660059597
Brest,52.1,23.7,20.68,56,73,3.91,BY,1660059598
Atar,20.5169,-13.0499,43.03,17,78,3.09,MR,1660059599
Edd,13.9297,41.6925,32.18,63,99,2.93,ER,1660059601
Shaoyang,27.2315,111.4525,28.0,60,26,1.0,CN,1660059602
Ejura,7.3856,-1.3562,27.31,69,100,1.77,GH,1660059604
Cabo San Lucas,22.8909,-109.9124,31.4,72,20,1.79,MX,1660059605
Kamina,-8.7386,24.9906,27.93,18,1,3.48,CD,1660059606
Acapulco de Juárez,16.8634,-99.8901,26.9,78,100,2.06,MX,1660059325
Seoul,37.5683,126.9778,22.78,97,100,4.12,KR,1660059609
Nānākuli,21.3906,-158.1547,25.97,65,0,2.57,US,1660059610
Alekseyevsk,57.8406,108.3492,9.66,92,45,0.77,RU,1660059612
Touros,-5.1989,-35.4608,28.14,63,79,7.2,BR,1660059335
Lakselv,70.0513,24.9718,16.9,67,0,2.06,NO,1660059614
Toamasina,-18.1667,49.3833,20.0,88,75,3.6,MG,1660059616
Plastun,44.7561,136.2939,16.71,70,0,2.4,RU,1660059617
Nouadhibou,20.931,-17.0347,31.99,45,6,6.69,MR,1660059618
Birobidzhan,48.8,132.95,13.83,83,96,1.77,RU,1660059620
Kiama,-34.6833,150.8667,11.88,87,93,0.89,AU,1660059621
Nikolskoye,59.7035,30.7861,19.94,57,97,1.63,RU,1660059624
Lumphat,13.4878,106.9816,22.31,99,100,1.77,KH,1660059625
Cherskiy,68.75,161.3,15.3,85,100,3.18,RU,1660059627
Cayenne,4.9333,-52.3333,33.02,13,20,3.09,GF,1660059467
Saint-Pierre,-21.3393,55.4781,20.82,74,75,6.69,RE,1660059630
Kavieng,-2.5744,150.7967,26.96,78,92,2.36,PG,1660059631
San Patricio,28.017,-97.5169,32.71,51,47,3.56,US,1660059633
Santo Antônio,-6.3106,-35.4789,28.2,57,97,5.58,BR,1660059634
Morondava,-20.2833,44.2833,23.7,77,0,4.43,MG,1660059635
Upernavik,72.7868,-56.1549,5.23,88,100,5.75,GL,1660059637
Sioux Lookout,50.1001,-91.917,23.04,68,20,7.2,CA,1660059638
Bereda,43.2686,-7.5406,30.79,59,0,4.11,ES,1660059639
Yar-Sale,66.8333,70.8333,16.18,53,99,4.02,RU,1660059641
Huambo,-12.7761,15.7392,27.89,18,0,2.57,AO,1660059642
Northam,51.0333,-4.2167,24.58,50,5,6.13,GB,1660059643
San Joaquin,37.9333,-121.3011,22.35,67,0,6.17,US,1660059645
Lālmohan,22.3384,90.7419,27.56,83,80,12.74,BD,1660059646
Hino,35.6731,139.4003,31.18,62,99,3.58,JP,1660059647
Rocha,-34.4833,-54.3333,13.12,59,50,4.54,UY,1660059649
Ucluelet,48.9329,-125.5528,14.17,93,24,3.25,CA,1660059650
Andenes,69.3143,16.1194,11.99,82,75,5.66,NO,1660059652
Verkhoyansk,67.5447,133.385,16.84,65,100,3.12,RU,1660059653
Lebu,-37.6167,-73.65,10.97,61,100,3.29,CL,1660059654
Chokurdakh,70.6333,147.9167,11.93,85,87,2.97,RU,1660059656
Madimba,-10.4,40.3333,25.62,65,75,6.17,TZ,1660059657
Jinchang,38.4953,102.1739,21.38,79,100,2.22,CN,1660059658
Luganville,-15.5333,167.1667,24.23,89,62,2.26,VU,1660059660
Neuquén,-38.9516,-68.0591,5.94,87,75,1.54,AR,1660059661
Lhokseumawe,5.1801,97.1507,26.38,84,98,1.21,ID,1660059663
Souillac,-20.5167,57.5167,21.21,78,75,8.23,MU,1660059664
Sorong,-0.8833,131.25,24.61,91,100,3.68,ID,1660059665
Hobyo,5.3505,48.5268,25.35,80,100,12.53,SO,1660059667
Zabul Province,32.25,67.25,29.89,31,25,8.49,AF,1660059668
Llanes,43.4198,-4.7549,25.26,71,14,4.26,ES,1660059669
Ribeira Grande,38.5167,-28.7,25.22,78,20,2.06,PT,1660059671
Fomboni,-12.28,43.7425,24.6,75,57,5.66,KM,1660059672
Ifakara,-8.1333,36.6833,23.35,50,84,1.69,TZ,1660059673
Saint Paul Harbor,57.79,-152.4072,11.73,82,100,0.0,US,1660059675
Tamale,9.4008,-0.8393,28.7,65,100,2.99,GH,1660059677
Kerikeri,-35.2268,173.9474,9.39,96,78,1.78,NZ,1660059679
Katsuura,35.1333,140.3,27.33,89,95,9.91,JP,1660059680
Jumla,29.2747,82.1838,18.69,93,73,0.83,NP,1660059682
Marabu,4.4148,114.0089,25.08,94,40,1.03,MY,1660059683
Ivanjica,43.5803,20.2311,27.21,72,58,2.23,RS,1660059684
Kisangani,0.5167,25.2,28.9,55,64,0.9,CD,1660059686
Leh,34.1667,77.5833,21.24,40,98,2.91,IN,1660059440
Pārvatipuram,18.7833,83.4333,24.49,95,100,1.81,IN,1660059688
Qaqortoq,60.7167,-46.0333,8.2,75,10,2.93,GL,1660059690
Bhainsdehi,21.6467,77.6325,22.12,97,100,3.39,IN,1660059691
Hithadhoo,-0.6,73.0833,27.95,70,54,1.43,MV,1660059692
Biak,-0.9131,122.8766,23.77,88,67,2.83,ID,1660059694
Papagaios,-19.4492,-44.7478,30.44,29,78,1.97,BR,1660059695
Vardø,70.3705,31.1107,14.99,72,0,4.12,NO,1660059697
Sur,22.5667,59.5289,31.45,62,97,4.0,OM,1660059698
Severo-Kuril'sk,50.6789,156.125,12.72,97,100,9.36,RU,1660059699
Ostrovnoy,68.0531,39.5131,15.33,62,100,5.3,RU,1660059701
Huarmey,-10.0681,-78.1522,18.66,72,64,2.95,PE,1660059703
Otradnoye,59.7775,30.8181,20.03,57,92,1.61,RU,1660059705
Kyren,51.6828,102.1408,14.81,85,79,0.13,RU,1660059706
Mbandaka,0.0487,18.2603,28.71,53,20,2.73,CD,1660059707
Borgarnes,64.5383,-21.9206,13.78,96,100,3.39,IS,1660059709
Ozernovskiy,51.5,156.5167,14.0,89,100,5.54,RU,1660059710
Raudeberg,61.9875,5.1352,16.64,67,100,10.16,NO,1660059711
Yulara,-25.2406,130.9889,16.15,71,100,2.1,AU,1660059713
Clarence Town,-32.5833,151.7833,11.56,95,77,1.19,AU,1660059714
Gävle,60.6745,17.1417,25.77,43,100,0.89,SE,1660059346
La Asuncion,11.0333,-63.8628,30.85,70,27,6.17,VE,1660059718
Valparaíso,-33.0393,-71.6273,18.13,44,0,1.54,CL,1660059718
Savannah Bight,16.45,-85.85,25.55,86,100,5.02,HN,1660059720
Horsham,51.064,-0.3272,29.81,37,0,6.69,GB,1660059429
Vaini,-21.2,-175.2,24.09,94,40,3.09,TO,1660059728
Dale,38.1689,-86.99,29.97,74,40,2.57,US,1660059729
Mutuípe,-13.2286,-39.5047,28.88,37,54,2.76,BR,1660059731
Maniitsoq,65.4167,-52.9,4.78,92,100,3.04,GL,1660059732
Padang,-0.9492,100.3543,26.03,86,69,1.31,ID,1660059733
Praia,14.9215,-23.5087,29.3,74,40,6.17,CV,1660059735
Valle de Allende,26.9333,-105.4,25.39,41,3,2.33,MX,1660059737
Yerbogachën,61.2767,108.0108,10.28,82,73,1.08,RU,1660059739
Bac Lieu,9.285,105.7244,25.52,85,98,3.82,VN,1660059677
Ouadda,8.0777,22.4007,22.11,95,100,1.91,CF,1660059741
Aksu,41.1231,80.2644,28.49,39,26,2.9,CN,1660059743
Nizwá,22.9333,57.5333,38.15,19,80,4.05,OM,1660059744
Pacific Grove,36.6177,-121.9166,18.9,85,40,2.57,US,1660059591
Paracuru,-3.41,-39.0306,27.84,57,10,7.41,BR,1660059746
Tigzirt,36.8886,4.1198,31.27,52,0,6.65,DZ,1660059748
Mount Gambier,-37.8333,140.7667,6.08,81,100,3.23,AU,1660059749
Shīeli,44.1667,66.75,24.71,27,0,4.08,KZ,1660059751
Port Hardy,50.6996,-127.4199,13.1,94,100,1.03,CA,1660059752
High Rock,26.6208,-78.2833,31.01,71,21,7.3,BS,1660059753
Shemysheyka,52.892,45.3928,25.37,41,64,1.1,RU,1660059755
Bocas del Toro,9.3333,-82.25,27.77,74,99,2.48,PA,1660059756
Meulaboh,4.1363,96.1285,25.61,83,86,0.72,ID,1660059758
Plettenberg Bay,-34.0527,23.3716,16.76,69,52,0.43,ZA,1660059759
Teahupoo,-17.8333,-149.2667,19.98,67,100,1.78,PF,1660059760
Mandalgovi,45.7625,106.2708,23.93,34,10,2.25,MN,1660059762
Chapleau,47.8405,-83.4034,19.05,63,0,1.54,CA,1660059763
Preobrazheniye,42.9019,133.9064,18.31,85,0,3.83,RU,1660059546
Marsala,37.7966,12.4352,32.72,70,40,5.66,IT,1660059766
‘Āhuimanu,21.4447,-157.8378,25.84,80,75,5.66,US,1660059767
Kieta,-6.2167,155.6333,25.62,82,96,0.95,PG,1660059769
Maxixe,-23.8597,35.3472,23.9,64,20,4.12,MZ,1660059770
Monte Alegre de Sergipe,-10.0272,-37.5622,26.71,51,4,3.54,BR,1660059771
Lagos,6.5833,3.75,29.18,69,100,3.99,NG,1660059615
Jiujiang,29.7333,115.9833,30.81,55,100,1.11,CN,1660059774
Pio IX,-6.8375,-40.5792,32.85,21,0,2.02,BR,1660059775
Kahului,20.8947,-156.47,26.02,75,20,4.47,US,1660059778
Pangnirtung,66.1451,-65.7125,8.0,81,75,4.63,CA,1660059779
Saint-Augustin,51.226,-58.6502,20.23,44,100,4.6,CA,1660059783
Yangi Marg`ilon,40.4272,71.7189,32.4,20,10,4.12,UZ,1660059785
Babynino,54.39,35.73,19.86,80,79,3.3,RU,1660059786
Broome,42.2506,-75.833,22.46,85,100,4.12,US,1660059787
Shimoda,34.6667,138.95,26.72,92,100,6.16,JP,1660059789
Masallātah,32.6167,14.0,28.85,61,1,6.3,LY,1660059790
Tucumã,-0.1833,-50.05,31.36,53,49,3.1,BR,1660059792
Baracoa,20.3467,-74.4958,29.35,71,65,5.43,CU,1660059794
Kearney,40.6995,-99.0815,23.31,68,0,3.6,US,1660059799
Saldanha,-33.0117,17.9442,16.03,80,93,3.53,ZA,1660059805
Lafayette,30.2335,-92.0668,31.63,74,75,1.54,US,1660059807
Pacifica,37.6138,-122.4869,19.8,86,75,4.63,US,1660059809
Dalianwan,39.0286,121.695,18.02,88,0,2.0,CN,1660059810
Rosetta,31.4044,30.4164,27.36,70,0,5.02,EG,1660059811
San Felipe,10.3399,-68.7425,29.38,70,93,0.53,VE,1660059813
Shar,49.5886,81.0453,20.54,58,10,3.06,KZ,1660059814
Almaznyy,48.0448,40.045,29.94,21,0,3.67,RU,1660059815
Sirte,31.2089,16.5887,29.41,66,0,5.54,LY,1660059817
Urubichá,-15.3833,-62.95,23.51,47,70,4.22,BO,1660059818
Norman Wells,65.282,-126.8329,14.02,82,75,1.03,CA,1660059821
Labuhan,-6.8844,112.2051,25.56,82,44,3.17,ID,1660059822
Awjilah,29.1081,21.2869,36.14,22,0,5.84,LY,1660059823
Sumbe,-11.2061,13.8437,21.97,78,12,3.35,AO,1660059825
Lüderitz,-26.6481,15.1594,16.22,65,0,4.75,NA,1660059826
Bethel,41.3712,-73.414,34.36,62,0,5.14,US,1660059827
Vila Velha,-20.3297,-40.2925,24.97,79,75,5.14,BR,1660059748
Marsabit,2.3284,37.9899,22.55,40,92,8.05,KE,1660059830
Naples,40.8333,14.25,27.56,100,75,8.75,IT,1660059670
Stephenville,32.2207,-98.2023,33.2,49,0,3.09,US,1660059683
Saint Anthony,45.0205,-93.218,24.4,66,0,4.12,US,1660059834
Baykit,61.67,96.37,15.0,86,100,1.31,RU,1660059835
Rockland,41.1668,-74.0496,35.61,56,27,1.34,US,1660059836
Praia,14.9215,-23.5087,29.3,74,40,6.17,CV,1660059493
Miracema do Tocantins,-9.5618,-48.3967,37.45,19,25,2.45,BR,1660059839
Taoudenni,22.6783,-3.9836,47.45,7,12,7.86,ML,1660059840
Balkanabat,39.5108,54.3671,33.9,26,70,1.32,TM,1660059842
Talnakh,69.4865,88.3972,13.45,91,56,1.59,RU,1660059843
Toropets,56.4978,31.6353,17.77,71,68,2.12,RU,1660059844
Calvinia,-31.4707,19.776,17.42,26,47,4.22,ZA,1660059846
Paris,48.8534,2.3488,32.51,30,0,5.66,FR,1660059720
San Ramon,37.7799,-121.978,19.77,80,100,4.12,US,1660059849
Grand-Santi,4.25,-54.3833,33.49,42,89,2.18,GF,1660059851
Carnarvon,-24.8667,113.6333,16.4,58,84,7.95,AU,1660059852
Yārāda,17.65,83.2667,27.18,78,75,5.14,IN,1660059853
Santa Rosalía,27.3167,-112.2833,31.08,52,70,0.36,MX,1660059855
Aranos,-24.1333,19.1167,22.56,12,4,1.57,NA,1660059856
São Filipe,14.8961,-24.4956,26.67,80,100,2.19,CV,1660059858
Zhezkazgan,47.8043,67.7144,22.08,38,94,3.76,KZ,1660059859
Xining,36.6167,101.7667,18.9,94,100,1.84,CN,1660059769
Hasaki,35.7333,140.8333,28.22,88,100,11.17,JP,1660059862
Lorengau,-2.0226,147.2712,27.08,80,90,3.39,PG,1660059863
Yen Bai,21.7,104.8667,25.67,92,53,1.19,VN,1660059864
Menongue,-14.6585,17.691,28.75,8,0,3.84,AO,1660059866
Saskylakh,71.9167,114.0833,10.66,88,5,3.88,RU,1660059867
Makkah al Mukarramah,21.4267,39.8261,36.06,39,94,2.64,SA,1660059868
Charter Township of Clinton,42.587,-82.9199,24.41,69,30,0.45,US,1660059575
Bandarbeyla,9.4942,50.8122,25.55,76,100,13.78,SO,1660059871
Baripāda,21.935,86.7214,26.29,92,100,1.49,IN,1660059872
Evensk,61.95,159.2333,12.46,70,8,1.94,RU,1660059874
La Libertad,-2.2333,-80.9,20.81,94,100,5.66,EC,1660059875
Key West,24.5557,-81.7826,29.0,89,40,6.69,US,1660059742
Ciampino,41.8016,12.6066,26.17,73,40,3.6,IT,1660059879
Sakakah,29.9697,40.2064,43.76,14,0,4.61,SA,1660059880
Codrington,-38.2667,141.9667,4.94,83,95,4.04,AU,1660059882
Constitución,-35.3333,-72.4167,13.33,47,98,1.38,CL,1660059705
Purpe,64.4803,76.6897,18.14,48,68,8.04,RU,1660059884
Wanlaweyn,2.6185,44.8938,25.89,66,86,9.53,SO,1660059886
Jurm,36.8648,70.8342,21.84,39,2,1.56,AF,1660059887
Coquimbo,-29.9533,-71.3436,15.85,51,0,1.03,CL,1660059888
Hebi,35.8992,114.1925,19.35,85,98,3.43,CN,1660059890
Siano,40.8016,14.6936,30.17,62,65,0.89,IT,1660059891
Port Shepstone,-30.7414,30.455,18.72,77,66,1.04,ZA,1660059893
Kenmare,51.8833,-9.5833,23.13,48,13,0.93,IE,1660059894
Khasan,42.4308,130.6434,19.15,82,0,2.42,RU,1660059895
Vélingara,13.15,-14.1167,29.81,71,95,2.21,SN,1660059897
Roebourne,-20.7833,117.1333,20.53,28,99,8.98,AU,1660059898
Aklavik,68.2191,-135.0107,14.56,65,91,2.02,CA,1660059900
Nambour,-26.6333,152.95,11.59,87,2,1.57,AU,1660059902
Katubao,5.8892,124.8294,26.16,80,96,1.38,PH,1660059903
Rabo de Peixe,37.8,-25.5833,22.73,73,75,3.6,PT,1660059905
Te Anau,-45.4167,167.7167,-2.92,92,30,0.2,NZ,1660059906
Tongren,27.7172,109.1853,27.32,70,35,0.25,CN,1660059909
Choszczno,53.169,15.4205,23.12,41,92,4.41,PL,1660059910
Tarakan,3.3,117.6333,25.72,89,100,1.54,ID,1660059913
